Genome	SkewI	Kingdom	K_TID	Phylum	P_TID	Class	C_TID	Order	O_TID	Family	F_TId	Genus	G_TID	Species	S_TID
"NZ_CP034834.1 Pseudoalteromonas sp. R3 chromosome 2, complete sequence"	0.060216841	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_sp._R3	1709477
"NC_019751.1 Calothrix sp. PCC 6303, complete genome"	0.06205826	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_parietina	32054
"NC_011988.1 Agrobacterium vitis S4 chromosome 2, complete sequence"	0.062344771	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Rhizobiaceae	82115	g__Agrobacterium	357	s__Agrobacterium_vitis	373
"NC_014501.1 Cyanothece sp. PCC 7822, complete genome"	0.062380779	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Aphanothecaceae	1890450	g__Gloeothece	28070	s__Gloeothece_verrucosa	2546359
"NZ_CP007542.1 Synechocystis sp. PCC 6714, complete genome"	0.063119703	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6714	1147
"NZ_CP031760.1 Pseudoalteromonas piscicida strain DE1-A chromosome 2, complete sequence"	0.063397069	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_piscicida	43662
"NC_011726.1 Cyanothece sp. PCC 8801, complete genome"	0.064110605	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Aphanothecaceae	1890450	g__Rippkaea	2546365	s__Rippkaea_orientalis	2546366
"NC_019689.1 Pleurocapsa sp. PCC 7327, complete genome"	0.064169189	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Pleurocapsales	52604	f__Hyellaceae	1890500	g__Pleurocapsa	44474	s__Pleurocapsa_minor	54308
"NZ_CP029550.1 Methylobacterium sp. 17SD2-17 chromosome, complete genome"	0.06481669	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylobacterium	407	s__Methylobacterium_sp._17SD2-17	2202825
"NZ_CP023278.1 Nostoc sp. CENA543 chromosome, complete genome"	0.065801435	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._CENA543	1869241
"NC_010475.1 Synechococcus sp. PCC 7002, complete genome"	0.066488323	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._PCC_7002	32049
"NZ_AP018180.1 Nostoc carneum NIES-2107 DNA, nearly complete genome"	0.067044599	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_carneum	374162
"NZ_CP009257.1 Acinetobacter baumannii strain AB030, complete genome"	0.512017064	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_AP018314.1 Sphaerospermopsis kisseleviana NIES-73 DNA, nearly complete genome"	0.067228912	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Aphanizomenonaceae	1892259	g__Sphaerospermopsis	752201	s__Sphaerospermopsis_kisseleviana	289435
"NZ_AP018222.1 Nostoc linckia NIES-25 DNA, nearly complete genome"	0.068190814	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_linckia	92942
"NZ_CP017599.1 Moorea producens PAL-8-15-08-1 chromosome, complete genome"	0.068230397	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Oscillatoriales	1150	f__Oscillatoriaceae	1892254	g__Moorea	1155738	s__Moorea_producens	1155739
"NZ_CP036280.1 Planctomycetes bacterium Pan265 chromosome, complete genome"	0.068836133	k__Bacteria	2	p__Planctomycetes	203682	-	-	-	-	-	-	-	-	s__Planctomycetes_bacterium_Pan265	2527982
"NZ_AP018227.1 Calothrix parasitica NIES-267 DNA, nearly complete genome"	0.069254901	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_parasitica	1973486
"NZ_CP007712.1 Acinetobacter baumannii LAC-4, complete genome"	0.606925935	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_AP018254.1 Calothrix sp. NIES-3974 DNA, complete genome"	0.070165181	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._NIES-3974	2005462
"NZ_CP032402.1 Actinomadura amylolytica strain YIM 77502 chromosome, complete genome"	0.070586761	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptosporangiales	85012	f__Thermomonosporaceae	2012	g__Actinomadura	1988	s__Actinomadura_amylolytica	1411117
"NZ_CP026681.1 Nostoc sp. 'Peltigera membranacea cyanobiont' N6 chromosome, complete genome"	0.070605582	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._'Peltigera_membranacea_cyanobiont'_N6	1261031
"NZ_CP041146.1 Nocardioides humi strain DCY24 chromosome, complete genome"	0.070732522	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Propionibacteriales	85009	f__Nocardioidaceae	85015	g__Nocardioides	1839	s__Nocardioides_humi	449461
"NC_008312.1 Trichodesmium erythraeum IMS101, complete genome"	0.072257058	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Oscillatoriales	1150	f__Microcoleaceae	1892252	g__Trichodesmium	1205	s__Trichodesmium_erythraeum	1206
"NC_010628.1 Nostoc punctiforme PCC 73102, complete genome"	0.072865744	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_punctiforme	272131
"NC_019745.1 Gloeocapsa sp. PCC 7428, complete genome"	0.073645186	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Chroococcaceae	1890464	g__Gloeocapsa	102231	s__Gloeocapsa_sp._PCC_7428	1173026
"NZ_CP019636.1 Nostocales cyanobacterium HT-58-2, complete genome"	0.073914474	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	-	-	-	-	s__Nostocales_cyanobacterium_HT-58-2	1940762
"NZ_CP011862.1 Pseudonocardia sp. AL041005-10, complete genome"	0.074877823	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Pseudonocardiales	85010	f__Pseudonocardiaceae	2070	g__Pseudonocardia	1847	s__Pseudonocardia_sp._AL041005-10	445576
"NZ_CP029552.1 Methylobacterium sp. 17Sr1-1 chromosome, complete genome"	0.076422416	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylobacterium	407	s__Methylobacterium_sp._17Sr1-1	2202826
"NZ_CP036455.1 Streptomonospora sp. M2 chromosome, complete genome"	0.076866744	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptosporangiales	85012	f__Nocardiopsaceae	83676	g__Streptomonospora	104204	s__Streptomonospora_sp._M2	2498135
"NZ_AP018207.1 Calothrix brevissima NIES-22 DNA, nearly complete genome"	0.077398555	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_brevissima	938406
"NC_019776.1 Cyanobacterium aponinum PCC 10605, complete genome"	0.077781308	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Cyanobacteriaceae	1890452	g__Cyanobacterium	102234	s__Cyanobacterium_aponinum	379064
"NC_008536.1 Candidatus Solibacter usitatus Ellin6076, complete genome"	0.078268932	k__Bacteria	2	p__Acidobacteria	57723	c__Acidobacteriia	204432	o__Bryobacterales	332160	f__Solibacteraceae	332161	g__Candidatus_Solibacter	332162	s__Candidatus_Solibacter_usitatus	332163
"NZ_CP028094.1 Synechocystis sp. IPPAS B-1465 chromosome, complete genome"	0.078336798	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._IPPAS_B-1465	2116702
"NC_017277.1 Synechocystis sp. PCC 6803 DNA, complete genome, strain: GT-S"	0.078407148	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6803	1148
NC_014366.1 gamma proteobacterium HdN1 complete genome	0.078474884	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	-	-	-	-	-	-	s__gamma_proteobacterium_HdN1	83406
"NC_019748.1 Stanieria cyanosphaera PCC 7437, complete genome"	0.079346046	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Pleurocapsales	52604	f__Dermocarpellaceae	1890498	g__Stanieria	102115	s__Stanieria_cyanosphaera	102116
"NZ_AP018194.1 Scytonema sp. HK-05 DNA, nearly complete genome"	0.07937281	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Scytonemataceae	1182	g__Scytonema	1203	s__Scytonema_sp._HK-05	1137095
"NC_019757.1 Cylindrospermum stagnale PCC 7417, complete genome"	0.079959335	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Cylindrospermum	56106	s__Cylindrospermum_stagnale	142864
"NZ_AP017295.1 Nostoc sp. NIES-3756 DNA, complete genome"	0.08044598	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._NIES-3756	1751286
"NZ_AP018248.1 Tolypothrix tenuis PCC 7101 DNA, nearly complete genome"	0.080452197	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Tolypothrichaceae	119859	g__Tolypothrix	111782	s__Tolypothrix_tenuis	457083
"NZ_CP018783.1 Curtobacterium pusillum strain AA3 chromosome, complete genome"	0.080528468	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Curtobacterium	2034	s__Curtobacterium_pusillum	69373
"NZ_CP040040.1 Acinetobacter baumannii strain VB958 chromosome, complete genome"	0.611278496	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_AP014704.1 Methylobacterium aquaticum DNA, complete genome, strain: MA-22A"	0.082269532	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylobacterium	407	s__Methylobacterium_aquaticum	270351
"NZ_CP018677.1 Acinetobacter baumannii strain LAC4, complete genome"	0.623961218	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_CP020588.1 Acinetobacter nosocomialis strain SSA3 chromosome, complete genome"	0.687492193	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_nosocomialis	106654
"NC_017221.1 Bifidobacterium longum subsp. longum KACC 91563, complete genome"	0.08384686	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_longum_subsp._longum	1679
"NZ_CP014771.1 Hymenobacter sp. PAMC 26554 chromosome, complete genome"	0.08389193	k__Bacteria	2	p__Bacteroidetes	976	c__Cytophagia	768503	o__Cytophagales	768507	f__Hymenobacteraceae	1853232	g__Hymenobacter	89966	s__Hymenobacter_sp._PAMC_26554	1484116
"NC_019684.1 Nostoc sp. PCC 7524, complete genome"	0.084400523	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._PCC_7524	28072
"NC_015145.1 Pseudarthrobacter phenanthrenivorans Sphe3, complete genome"	0.084697632	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Pseudarthrobacter	1742993	s__Pseudarthrobacter_phenanthrenivorans	361575
"NZ_CP029479.1 Phenylobacterium sp. HYN0004 chromosome, complete genome"	0.084849578	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Caulobacterales	204458	f__Caulobacteraceae	76892	g__Phenylobacterium	20	s__Phenylobacterium_sp._HYN0004	2201350
"NZ_CP027236.1 Actinomyces sp. oral taxon 897 strain F0631 chromosome, complete genome"	0.086312741	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Actinomycetales	2037	f__Actinomycetaceae	2049	g__Actinomyces	1654	s__Actinomyces_sp._oral_taxon_897	2081702
"NZ_AP018307.1 Aulosira laxa NIES-50 DNA, nearly complete genome"	0.087468836	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Fortieaceae	1892264	g__Aulosira	212347	s__Aulosira_laxa	1541975
"NC_011729.1 Cyanothece sp. PCC 7424, complete genome"	0.087503021	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Aphanothecaceae	1890450	g__Gloeothece	28070	s__Gloeothece_citriformis	2546356
"NC_012803.1 Micrococcus luteus NCTC 2665, complete genome"	0.087961403	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Micrococcus	1269	s__Micrococcus_luteus	1270
"NZ_CP012738.1 Pseudoalteromonas sp. 1_2015MBL_MicDiv chromosome 2, complete sequence"	0.088178756	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_sp._1_2015MBL_MicDiv	1720343
"NC_019729.1 Oscillatoria nigro-viridis PCC 7112, complete genome"	0.088246927	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Oscillatoriales	1150	f__Oscillatoriaceae	1892254	g__Oscillatoria	1158	s__Oscillatoria_nigro-viridis	482564
"NC_013715.1 Rothia mucilaginosa DY-18 DNA, complete genome"	0.0883157	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Rothia	32207	s__Rothia_mucilaginosa	43675
"NZ_CP034058.1 Anabaena sp. YBS01 chromosome, complete genome"	0.088404723	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Anabaena	1163	s__Anabaena_sp._YBS01	2490939
"NZ_AP018178.1 Calothrix sp. NIES-2100 DNA, nearly complete genome"	0.088804811	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._NIES-2100	1954172
"NZ_CP029480.1 Arcticibacterium luteifluviistationis strain SM1504 chromosome, complete genome"	0.089222001	k__Bacteria	2	p__Bacteroidetes	976	c__Cytophagia	768503	o__Cytophagales	768507	f__Cytophagaceae	89373	g__Arcticibacterium	2173039	s__Arcticibacterium_luteifluviistationis	1784714
"NZ_AP018203.1 Leptolyngbya boryana NIES-2135 DNA, complete genome"	0.089521751	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Leptolyngbyaceae	1890438	g__Leptolyngbya	47251	s__Leptolyngbya_boryana	1184
"NZ_AP017308.1 Leptolyngbya sp. NIES-3755 DNA, complete genome"	0.089674437	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Leptolyngbyaceae	1890438	g__Leptolyngbya	47251	s__Leptolyngbya_sp._NIES-3755	1752064
"NZ_AP018288.1 Nostoc sp. NIES-4103 DNA, nearly complete genome"	0.090261615	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._NIES-4103	2005458
"NZ_CP015414.1 Pseudoalteromonas luteoviolacea strain S40542 chromosome 2, complete sequence"	0.09083154	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_luteoviolacea	43657
"NZ_CP015412.1 Pseudoalteromonas luteoviolacea strain S4054249 chromosome 2, complete sequence"	0.090833671	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_luteoviolacea	43657
"NZ_CP040360.1 Synechococcus sp. PCC 11901 chromosome, complete genome"	0.090864426	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._PCC_11901	2579791
"NZ_CP013979.1 Agromyces aureus strain AR33, complete genome"	0.091467793	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Agromyces	33877	s__Agromyces_aureus	453304
"NZ_CP019322.1 Methylorubrum extorquens strain PSBB040 chromosome, complete genome"	0.091965195	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylorubrum	2282523	s__Methylorubrum_extorquens	408
"NC_022600.1 Gloeobacter kilaueensis JS1, complete genome"	0.093125812	k__Bacteria	2	p__Cyanobacteria	1117	c__Gloeobacteria	307596	o__Gloeobacterales	307595	f__Gloeobacteraceae	1890422	g__Gloeobacter	33071	s__Gloeobacter_kilaueensis	1416614
"NZ_CP035672.1 Acinetobacter baumannii strain VB23193 chromosome, complete genome"	0.734458979	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_AP018216.1 Anabaena variabilis NIES-23 DNA, nearly complete genome"	0.093576737	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Trichormus	264688	s__Trichormus_variabilis	264691
"NZ_AP021847.1 Pseudoalteromonas sp. A25 DNA, chromosome 2, nearly complete genome"	0.094058335	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_sp._A25	116092
"NC_013161.1 Cyanothece sp. PCC 8802, complete genome"	0.094222188	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Aphanothecaceae	1890450	g__Rippkaea	2546365	s__Rippkaea_orientalis	2546366
"NZ_CP023397.1 Pseudoalteromonas ruthenica strain LMG 19699 chromosome 2, complete sequence"	0.094303369	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_ruthenica	151081
"NZ_CP027229.1 Capnocytophaga sp. oral taxon 878 strain F0545 chromosome, complete genome"	0.094525712	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Capnocytophaga	1016	s__Capnocytophaga_sp._oral_taxon_878	1316596
"NZ_CP011382.1 Calothrix sp. 336/3, complete genome"	0.095491724	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._336/3	1337936
"NC_013131.1 Catenulispora acidiphila DSM 44928, complete genome"	0.095531221	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Catenulisporales	414714	f__Catenulisporaceae	414877	g__Catenulispora	414878	s__Catenulispora_acidiphila	304895
"NZ_AP018166.1 Anabaena cylindrica PCC 7122 DNA, nearly complete genome"	0.097620839	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Anabaena	1163	s__Anabaena_cylindrica	1165
"NZ_AP018184.1 Nostoc sp. NIES-2111 DNA, nearly complete genome"	0.098117358	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._NIES-2111	1973475
"NC_010511.1 Methylobacterium sp. 4-46, complete genome"	0.099228952	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylobacterium	407	s__Methylobacterium_sp._4-46	426117
"NZ_CP015145.1 Acinetobacter pittii strain IEC338SC, complete genome"	0.782654347	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_pittii	48296
"NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome"	0.811314415	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NC_015052.1 Bifidobacterium longum subsp. infantis 157F DNA, complete genome"	0.099987002	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_longum_subsp._infantis	1682
"NZ_CP017297.1 Brachybacterium sp. P6-10-X1 chromosome, complete genome"	0.100328279	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Dermabacteraceae	85020	g__Brachybacterium	43668	s__Brachybacterium_sp._P6-10-X1	1903186
"NZ_AP018174.1 Anabaenopsis circularis NIES-21 DNA, nearly complete genome"	0.100527679	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Aphanizomenonaceae	1892259	g__Anabaenopsis	110103	s__Anabaenopsis_circularis	109266
"NC_017052.1 Synechocystis sp. PCC 6803 substr. PCC-N DNA, complete genome"	0.100837427	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6803	1148
"NC_017038.1 Synechocystis sp. PCC 6803 substr. GT-I DNA, complete genome"	0.100840223	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6803	1148
